,,NDI,C
1994,Q1,98740.9,82607
,Q2,95484.9,86247.9
,Q3,95029.5,84892.4
,Q4,108472.2,91009.5
1995,Q1,102864.4,85127.7
,Q2,95175.3,88274.2
,Q3,96760.2,86859.8
,Q4,112367.5,93515.1
1996,Q1,105455,86829.9
,Q2,100544.2,90665.7
,Q3,100402.6,88773.1
,Q4,113793.9,95746.8
1997,Q1,109282,90384.9
,Q2,102381.1,92361.9
,Q3,101653.8,90137.5
,Q4,113105.6,96214.3
1998,Q1,105951.5,89466
,Q2,100279.1,92154.6
,Q3,101115.8,90046.3
,Q4,110530.7,96717.6
1999,Q1,101125.4,90252.6
,Q2,99798.1,93237.6
,Q3,99414.7,90932
,Q4,111317.7,96885.5
2000,Q1,101647.2,91738.1
,Q2,101330.4,94206.1
,Q3,102686.9,91764.2
,Q4,113208,98250.9
2001,Q1,106506.8,93256.2
,Q2,102092.6,96147.5
,Q3,97662.1,93057
,Q4,106874,98474.9
2002,Q1,102961.6,93574.4
,Q2,101170.5,96315.5
,Q3,98331.9,93408
,Q4,106870.1,98718.6
2003,Q1,100772.7,93060.5
,Q2,100525.2,96227.7
,Q3,99634.1,92774
,Q4,110567.3,99038.9
2004,Q1,103409.2,93525.5
,Q2,102683.8,96486.9
,Q3,101353,93892.9
,Q4,111771.1,99664.8
2005,Q1,106205.8,93758.5
,Q2,103262.6,97177.8
,Q3,101826,94547.4
,Q4,113502.4,100834.2
2006,Q1,104040.1,95017.2
,Q2,104180.5,97859.6
,Q3,103452.8,94299
,Q4,114373.4,101486.7
2007,Q1,106756.7,95089.9
,Q2,106304.5,98761
,Q3,104145.2,95015.2
,Q4,112616,101949.2
2008,Q1,105382.2,96287.3
,Q2,104124,97991.7
,Q3,98482.2,95409.8
,Q4,104360.9,99786.1
2009,Q1,89861.5,92400.5
,Q2,93593.4,95639.3
,Q3,93007.6,93535.1
,Q4,103459.3,99269.6
2010,Q1,93479.9,93414
,Q2,99207.4,96685.5
,Q3,96682.3,95154.4
,Q4,104814.3,99309.1
2011,Q1,95587.4,92713.5
,Q2,95111.3,95831.7
,Q3,94704.6,94666.7
,Q4,102218.6,100348.4
2012,Q1,97538.8,95529.1
,Q2,97904.8,97473.6
,Q3,94206.3,94850.3
,Q4,101648.9,100697.8
2013,Q1,96262.4,96421.9
,Q2,100999,99406.6
,Q3,98088.2,97652
,Q4,106937.8,103269.5
2014,Q1,98890,99895.3
,Q2,101338.6,99954.3
,Q3,98326.8,98347
,Q4,111254.8,104181.6
2015,Q1,103008.9,99193
,Q2,108515.1,101947.8
,Q3,104412.8,99460.3
,Q4,113407.1,105013.7
2016,Q1,106814.8,99702.9
,Q2,107551.8,101379.1
,Q3,103577.4,98583.3
,Q4,115255.6,105117.3
2017,Q1,106154.7,100051.9
,Q2,110123.1,103040.1
,Q3,107317,99734.1
,Q4,118113.2,106589
2018,Q1,105562.6,101351.3
,Q2,112189.7,103988.7
,Q3,108029.7,100960.1
,Q4,117443.7,107499.3
2019,Q1,105977.4,101505.1
,Q2,112382.6,105089.7
,Q3,107952.1,102248.8
,Q4,115844.9,107078.6
2020,Q1,106615.8,101029.3
,Q2,98556.2,97528.8
,Q3,99273.8,98048.2
,Q4,114442.5,106077.7
2021,Q1,106817.6,98991.7
,Q2,,
,Q3,,
,Q4,,
