Date,0001 総合,0002 食料,0003 穀類
1970-01-01,30.3,28.2,32.9
1970-02-01,30.3,28.4,33
1970-03-01,30.6,28.8,33
1970-04-01,30.9,29,33.1
1970-05-01,30.8,28.5,33.2
1970-06-01,30.8,28.3,33.3
1970-07-01,30.8,28.2,33.5
1970-08-01,30.7,28,33.6
1970-09-01,31.2,28.7,33.8
1970-10-01,31.7,29.5,33.9
1970-11-01,31.7,29.4,34
1970-12-01,31.9,29.6,34.1
1971-01-01,32.2,30.1,34.2
1971-02-01,32.2,30.2,34.2
1971-03-01,32.3,30.1,34.2
1971-04-01,32.7,30.2,34.3
1971-05-01,32.8,30,34.3
1971-06-01,32.9,30.1,34.4
1971-07-01,32.9,29.9,34.4
1971-08-01,32.9,30,34.4
1971-09-01,33.7,31.7,34.4
1971-10-01,33.8,31.6,34.4
1971-11-01,33.5,30.7,34.4
1971-12-01,33.5,30.7,34.5
1972-01-01,33.5,30.7,34.6
1972-02-01,33.7,30.8,34.7
1972-03-01,34,31.3,34.7
1972-04-01,34.4,31.7,34.8
1972-05-01,34.5,31.6,35
1972-06-01,34.5,31.4,35.4
1972-07-01,34.5,31.2,35.4
1972-08-01,34.8,31.9,35.4
1972-09-01,35,32.1,35.5
1972-10-01,35.2,32.3,37.4
1972-11-01,35.1,31.9,37.6
1972-12-01,35.4,32.2,37.6
1973-01-01,35.7,32.8,37.7
1973-02-01,36,33.2,37.7
1973-03-01,36.9,34.5,37.9
1973-04-01,37.6,35,38
1973-05-01,38.2,35.5,38.1
1973-06-01,38.3,35.1,38.4
1973-07-01,38.6,35.4,38.5
1973-08-01,38.9,36,38.5
1973-09-01,40,37.5,38.9
1973-10-01,40.2,37.3,39.6
1973-11-01,40.5,37.4,40.4
1973-12-01,41.8,38.9,41.4
1974-01-01,43.6,41.8,44.4
1974-02-01,45,43.6,45.2
1974-03-01,45.3,43.8,45.3
1974-04-01,46.4,45.2,45.4
1974-05-01,46.6,44.5,45.6
1974-06-01,46.9,44,45.7
1974-07-01,47.8,45.2,45.9
1974-08-01,48.3,46.5,46
1974-09-01,49,47.3,46.2
1974-10-01,50.1,48.3,55.2
1974-11-01,50.5,48.5,55.7
1974-12-01,50.6,48.8,55.8
1975-01-01,51.2,49.6,55.8
1975-02-01,51.3,49.9,55.8
1975-03-01,51.7,50.8,55.9
1975-04-01,52.6,51,56
1975-05-01,52.9,51,56
1975-06-01,52.9,50.6,56
1975-07-01,53.1,50.8,56
1975-08-01,52.9,51,56
1975-09-01,54.1,52.8,61.3
1975-10-01,54.9,54.5,62.1
1975-11-01,54.7,53.5,62.1
1975-12-01,54.7,53.2,62.1
1976-01-01,55.7,54.5,62.1
1976-02-01,56.1,55.2,62.1
1976-03-01,56.3,55.3,62.9
1976-04-01,57.6,56.6,63.2
1976-05-01,57.8,56.3,63.4
1976-06-01,57.9,55.9,63.4
1976-07-01,58.3,56.1,63.4
1976-08-01,57.9,55.5,63.5
1976-09-01,59.4,57.6,67.9
1976-10-01,59.7,57.9,68.6
1976-11-01,59.7,56.9,68.8
1976-12-01,60.4,57,68.8
1977-01-01,60.9,58.5,69
1977-02-01,61.3,59.2,69
1977-03-01,61.6,59.9,69
1977-04-01,62.6,60.2,69.1
1977-05-01,63.2,60.6,69.1
1977-06-01,63,59.6,69.1
1977-07-01,62.8,59.1,69.2
1977-08-01,62.9,60,69.1
1977-09-01,63.9,61.6,72.7
1977-10-01,64.3,61.9,73.2
1977-11-01,63.6,60.1,73.5
1977-12-01,63.5,59.6,73.8
1978-01-01,63.7,60.4,73.9
1978-02-01,64.1,60.9,74.1
1978-03-01,64.6,61.8,74.2
1978-04-01,65.3,62.2,74.2
