,tab_code,表章項目,cat01_code,産業,cat02_code,就業状態,cat03_code,性別,area_code,地域,time_code,時間軸（月次）,unit,value,annotation
0,01,実数(人口),000,全産業,00,15歳以上人口,0,総数,00000,全国,2000000101,2000年1月,万人,10815,
1,01,実数(人口),000,全産業,00,15歳以上人口,0,総数,00000,全国,2000000202,2000年2月,万人,10818,
2,01,実数(人口),000,全産業,00,15歳以上人口,0,総数,00000,全国,2000000303,2000年3月,万人,10820,
3,01,実数(人口),000,全産業,00,15歳以上人口,0,総数,00000,全国,2000000404,2000年4月,万人,10815,
4,01,実数(人口),000,全産業,00,15歳以上人口,0,総数,00000,全国,2000000505,2000年5月,万人,10829,
5,01,実数(人口),000,全産業,00,15歳以上人口,0,総数,00000,全国,2000000606,2000年6月,万人,10837,
6,01,実数(人口),000,全産業,00,15歳以上人口,0,総数,00000,全国,2000000707,2000年7月,万人,10829,
7,01,実数(人口),000,全産業,00,15歳以上人口,0,総数,00000,全国,2000000808,2000年8月,万人,10836,
8,01,実数(人口),000,全産業,00,15歳以上人口,0,総数,00000,全国,2000000909,2000年9月,万人,10846,
9,01,実数(人口),000,全産業,00,15歳以上人口,0,総数,00000,全国,2000001010,2000年10月,万人,10855,
10,01,実数(人口),000,全産業,00,15歳以上人口,0,総数,00000,全国,2000001111,2000年11月,万人,10863,
11,01,実数(人口),000,全産業,00,15歳以上人口,0,総数,00000,全国,2000001212,2000年12月,万人,10864,
12,01,実数(人口),000,全産業,00,15歳以上人口,0,総数,00000,全国,2001000101,2001年1月,万人,10867,
13,01,実数(人口),000,全産業,00,15歳以上人口,0,総数,00000,全国,2001000202,2001年2月,万人,10852,
14,01,実数(人口),000,全産業,00,15歳以上人口,0,総数,00000,全国,2001000303,2001年3月,万人,10869,
15,01,実数(人口),000,全産業,00,15歳以上人口,0,総数,00000,全国,2001000404,2001年4月,万人,10867,
16,01,実数(人口),000,全産業,00,15歳以上人口,0,総数,00000,全国,2001000505,2001年5月,万人,10880,
17,01,実数(人口),000,全産業,00,15歳以上人口,0,総数,00000,全国,2001000606,2001年6月,万人,10882,
18,01,実数(人口),000,全産業,00,15歳以上人口,0,総数,00000,全国,2001000707,2001年7月,万人,10884,
19,01,実数(人口),000,全産業,00,15歳以上人口,0,総数,00000,全国,2001000808,2001年8月,万人,10889,
20,01,実数(人口),000,全産業,00,15歳以上人口,0,総数,00000,全国,2001000909,2001年9月,万人,10898,
21,01,実数(人口),000,全産業,00,15歳以上人口,0,総数,00000,全国,2001001010,2001年10月,万人,10907,
22,01,実数(人口),000,全産業,00,15歳以上人口,0,総数,00000,全国,2001001111,2001年11月,万人,10919,
23,01,実数(人口),000,全産業,00,15歳以上人口,0,総数,00000,全国,2001001212,2001年12月,万人,10913,
24,01,実数(人口),000,全産業,00,15歳以上人口,0,総数,00000,全国,2002000101,2002年1月,万人,10917,
25,01,実数(人口),000,全産業,00,15歳以上人口,0,総数,00000,全国,2002000202,2002年2月,万人,10908,
26,01,実数(人口),000,全産業,00,15歳以上人口,0,総数,00000,全国,2002000303,2002年3月,万人,10914,
27,01,実数(人口),000,全産業,00,15歳以上人口,0,総数,00000,全国,2002000404,2002年4月,万人,10909,
28,01,実数(人口),000,全産業,00,15歳以上人口,0,総数,00000,全国,2002000505,2002年5月,万人,10923,
29,01,実数(人口),000,全産業,00,15歳以上人口,0,総数,00000,全国,2002000606,2002年6月,万人,10929,
30,01,実数(人口),000,全産業,00,15歳以上人口,0,総数,00000,全国,2002000707,2002年7月,万人,10924,
31,01,実数(人口),000,全産業,00,15歳以上人口,0,総数,00000,全国,2002000808,2002年8月,万人,10929,
32,01,実数(人口),000,全産業,00,15歳以上人口,0,総数,00000,全国,2002000909,2002年9月,万人,10944,
33,01,実数(人口),000,全産業,00,15歳以上人口,0,総数,00000,全国,2002001010,2002年10月,万人,10952,
34,01,実数(人口),000,全産業,00,15歳以上人口,0,総数,00000,全国,2002001111,2002年11月,万人,10943,
35,01,実数(人口),000,全産業,00,15歳以上人口,0,総数,00000,全国,2002001212,2002年12月,万人,10929,
36,01,実数(人口),000,全産業,00,15歳以上人口,0,総数,00000,全国,2003000101,2003年1月,万人,10941,
37,01,実数(人口),000,全産業,00,15歳以上人口,0,総数,00000,全国,2003000202,2003年2月,万人,10933,
38,01,実数(人口),000,全産業,00,15歳以上人口,0,総数,00000,全国,2003000303,2003年3月,万人,10952,
39,01,実数(人口),000,全産業,00,15歳以上人口,0,総数,00000,全国,2003000404,2003年4月,万人,10947,
40,01,実数(人口),000,全産業,00,15歳以上人口,0,総数,00000,全国,2003000505,2003年5月,万人,10960,
41,01,実数(人口),000,全産業,00,15歳以上人口,0,総数,00000,全国,2003000606,2003年6月,万人,10971,
42,01,実数(人口),000,全産業,00,15歳以上人口,0,総数,00000,全国,2003000707,2003年7月,万人,10968,
43,01,実数(人口),000,全産業,00,15歳以上人口,0,総数,00000,全国,2003000808,2003年8月,万人,10968,
44,01,実数(人口),000,全産業,00,15歳以上人口,0,総数,00000,全国,2003000909,2003年9月,万人,10975,
45,01,実数(人口),000,全産業,00,15歳以上人口,0,総数,00000,全国,2003001010,2003年10月,万人,10979,
46,01,実数(人口),000,全産業,00,15歳以上人口,0,総数,00000,全国,2003001111,2003年11月,万人,10982,
