Date,15歳以上人口,労働力人口,完全失業者,就業者,非労働力人口
2000-01-01,10815,6664,309,6355,4137
2000-02-01,10818,6638,327,6311,4168
2000-03-01,10820,6694,349,6345,4113
2000-04-01,10815,6786,346,6440,4021
2000-05-01,10829,6831,328,6503,3984
2000-06-01,10837,6824,321,6503,3996
2000-07-01,10829,6796,307,6489,4020
2000-08-01,10836,6791,310,6480,4032
2000-09-01,10846,6800,320,6480,4034
2000-10-01,10855,6822,314,6508,4020
2000-11-01,10863,6811,309,6502,4040
2000-12-01,10864,6738,298,6440,4117
2001-01-01,10867,6677,317,6360,4179
2001-02-01,10852,6670,318,6352,4171
2001-03-01,10869,6722,343,6379,4138
2001-04-01,10867,6776,348,6427,4084
2001-05-01,10880,6821,348,6473,4052
2001-06-01,10882,6804,338,6466,4069
2001-07-01,10884,6783,330,6452,4092
2001-08-01,10889,6780,336,6443,4100
2001-09-01,10898,6753,357,6396,4136
2001-10-01,10907,6757,352,6405,4144
2001-11-01,10919,6780,350,6430,4132
2001-12-01,10913,6699,337,6362,4206
2002-01-01,10917,6611,344,6267,4299
2002-02-01,10908,6604,356,6248,4297
2002-03-01,10914,6676,379,6297,4230
2002-04-01,10909,6708,375,6333,4190
2002-05-01,10923,6731,375,6356,4182
2002-06-01,10929,6741,368,6373,4180
2002-07-01,10924,6725,352,6374,4192
2002-08-01,10929,6732,361,6371,4187
2002-09-01,10944,6717,365,6353,4217
2002-10-01,10952,6717,362,6355,4224
2002-11-01,10943,6684,338,6346,4249
2002-12-01,10929,6622,331,6291,4300
2003-01-01,10941,6560,357,6203,4370
2003-02-01,10933,6542,349,6193,4383
2003-03-01,10952,6649,384,6266,4292
2003-04-01,10947,6691,385,6306,4245
2003-05-01,10960,6735,375,6360,4214
2003-06-01,10971,6771,361,6411,4190
2003-07-01,10968,6722,342,6381,4233
2003-08-01,10968,6693,333,6361,4264
2003-09-01,10975,6692,346,6346,4274
2003-10-01,10979,6680,343,6337,4289
2003-11-01,10982,6654,330,6323,4318
2003-12-01,10967,6607,300,6307,4346
2004-01-01,10983,6545,323,6221,4423
2004-02-01,10976,6539,330,6209,4421
2004-03-01,10990,6612,333,6279,4366
2004-04-01,10997,6688,335,6354,4301
2004-05-01,10995,6708,319,6389,4277
2004-06-01,10982,6683,309,6374,4285
2004-07-01,10984,6691,318,6373,4278
2004-08-01,10985,6710,314,6395,4265
2004-09-01,10994,6679,309,6369,4303
2004-10-01,10997,6663,311,6352,4323
2004-11-01,11003,6611,290,6322,4379
2004-12-01,10995,6576,270,6306,4405
2005-01-01,11004,6557,296,6261,4431
2005-02-01,11003,6532,308,6224,4456
2005-03-01,11003,6573,313,6260,4415
2005-04-01,10994,6662,310,6352,4321
2005-05-01,11008,6742,307,6435,4258
2005-06-01,11003,6698,280,6418,4293
2005-07-01,11005,6699,289,6410,4292
2005-08-01,11006,6689,284,6405,4308
2005-09-01,11014,6722,285,6437,4286
2005-10-01,11016,6713,304,6409,4296
2005-11-01,11016,6636,292,6344,4371
2005-12-01,11012,6580,265,6315,4419
2006-01-01,11013,6561,292,6269,4440
2006-02-01,11006,6549,277,6272,4449
2006-03-01,11021,6597,289,6308,4420
2006-04-01,11002,6652,284,6368,4346
2006-05-01,11015,6725,277,6448,4285
2006-06-01,11025,6717,278,6438,4300
2006-07-01,11020,6688,268,6421,4323
2006-08-01,11019,6699,272,6427,4310
2006-09-01,11024,6711,280,6431,4307
2006-10-01,11030,6718,281,6437,4304
2006-11-01,11034,6669,259,6410,4358
2006-12-01,11023,6598,244,6354,4414
2007-01-01,11034,6542,264,6278,4481
2007-02-01,11034,6572,270,6302,4454
2007-03-01,11036,6632,281,6351,4398
2007-04-01,11036,6712,268,6444,4319
2007-05-01,11040,6757,258,6499,4278
2007-06-01,11043,6733,241,6491,4306
2007-07-01,11044,6691,234,6458,4346
2007-08-01,11046,6695,249,6446,4344
2007-09-01,11049,6691,269,6422,4350
2007-10-01,11051,6695,271,6424,4350
2007-11-01,11051,6679,246,6433,4365
2007-12-01,11050,6627,231,6396,4417
2008-01-01,11050,6577,256,6321,4469
2008-02-01,11047,6558,266,6292,4482
2008-03-01,11048,6604,268,6336,4437
2008-04-01,11045,6704,275,6429,4335
2008-05-01,11048,6748,270,6478,4296
2008-06-01,11049,6716,265,6451,4330
2008-07-01,11052,6662,256,6406,4384
2008-08-01,11050,6677,272,6405,4366
2008-09-01,11053,6663,271,6393,4386
2008-10-01,11053,6643,255,6388,4406
2008-11-01,11053,6646,256,6391,4403
2008-12-01,11049,6601,270,6331,4444
2009-01-01,11048,6569,277,6292,4474
2009-02-01,11045,6565,299,6265,4476
2009-03-01,11046,6580,335,6245,4463
2009-04-01,11047,6668,346,6322,4377
2009-05-01,11050,6689,347,6342,4358
2009-06-01,11052,6648,348,6300,4399
2009-07-01,11052,6628,359,6270,4421
2009-08-01,11050,6657,361,6296,4390
2009-09-01,11053,6658,363,6295,4392
2009-10-01,11055,6615,344,6271,4438
2009-11-01,11055,6591,331,6260,4462
2009-12-01,11050,6539,317,6223,4506
2010-01-01,11047,6535,323,6213,4507
2010-02-01,11044,6509,324,6185,4527
2010-03-01,11046,6560,350,6210,4478
2010-04-01,11043,6625,356,6269,4411
2010-05-01,11047,6642,347,6295,4400
2010-06-01,11052,6624,344,6280,4422
2010-07-01,11050,6602,331,6271,4441
2010-08-01,11049,6615,337,6278,4430
2010-09-01,11052,6649,340,6309,4395
2010-10-01,11053,6621,334,6286,4427
2010-11-01,11053,6570,318,6252,4475
2010-12-01,11050,6531,299,6232,4515
2011-01-01,11052,6523,310,6213,4520
2011-02-01,11047,6522,302,6219,4521
2011-03-01,…,…,…,…,…
2011-04-01,…,…,…,…,…
2011-05-01,…,…,…,…,…
2011-06-01,…,…,…,…,…
2011-07-01,…,…,…,…,…
2011-08-01,…,…,…,…,…
2011-09-01,11034,6551,275,6276,4480
2011-10-01,11039,6552,288,6264,4486
2011-11-01,11039,6540,280,6260,4497
2011-12-01,11037,6497,275,6222,4539
2012-01-01,11104,6502,291,6211,4601
2012-02-01,11101,6515,289,6226,4582
2012-03-01,11101,6521,307,6215,4577
2012-04-01,11097,6591,315,6275,4504
2012-05-01,11092,6595,297,6297,4494
2012-06-01,11096,6591,288,6304,4500
2012-07-01,11098,6565,288,6277,4530
2012-08-01,11095,6559,277,6281,4534
2012-09-01,11097,6583,275,6308,4512
2012-10-01,11099,6592,271,6321,4504
2012-11-01,11098,6556,260,6297,4538
2012-12-01,11093,6486,259,6228,4604
2013-01-01,11090,6502,273,6228,4583
2013-02-01,11086,6519,277,6242,4561
2013-03-01,11086,6526,280,6246,4554
2013-04-01,11083,6603,291,6312,4477
2013-05-01,11087,6619,279,6340,4461
2013-06-01,11090,6593,260,6333,4488
2013-07-01,11088,6566,255,6311,4517
2013-08-01,11086,6581,271,6310,4499
2013-09-01,11091,6617,258,6359,4470
2013-10-01,11091,6629,263,6366,4458
2013-11-01,11089,6620,249,6371,4466
2013-12-01,11085,6544,225,6319,4539
2014-01-01,11084,6501,238,6262,4579
2014-02-01,11079,6516,232,6283,4558
2014-03-01,11081,6544,246,6298,4529
2014-04-01,11079,6592,254,6338,4478
2014-05-01,11082,6640,242,6398,4435
2014-06-01,11081,6634,245,6389,4441
2014-07-01,11085,6604,248,6357,4474
2014-08-01,11079,6595,231,6363,4479
2014-09-01,11084,6635,233,6402,4444
2014-10-01,11085,6623,233,6390,4454
2014-11-01,11085,6590,219,6371,4489
2014-12-01,11080,6567,210,6357,4508
2015-01-01,11077,6540,231,6309,4531
2015-02-01,11074,6548,226,6322,4520
2015-03-01,11074,6547,228,6319,4521
2015-04-01,11073,6576,234,6342,4491
2015-05-01,11076,6624,224,6400,4443
2015-06-01,11081,6648,224,6425,4426
2015-07-01,11076,6603,222,6381,4466
2015-08-01,11075,6603,225,6379,4462
2015-09-01,11080,6665,227,6439,4408
2015-10-01,11082,6640,208,6432,4437
2015-11-01,11082,6588,209,6379,4487
2015-12-01,11077,6588,204,6385,4482
2016-01-01,11078,6610,211,6399,4465
2016-02-01,11070,6564,213,6351,4502
2016-03-01,11075,6555,216,6339,4516
2016-04-01,11074,6621,224,6396,4445
2016-05-01,11076,6662,216,6446,4409
2016-06-01,11079,6707,210,6497,4366
2016-07-01,11081,6682,203,6479,4391
2016-08-01,11077,6677,212,6465,4393
2016-09-01,11080,6701,204,6497,4370
2016-10-01,11083,6690,195,6495,4386
2016-11-01,11083,6649,197,6452,4427
2016-12-01,11077,6658,193,6466,4411
2017-01-01,11110,6667,197,6470,4438
2017-02-01,11105,6615,188,6427,4485
2017-03-01,11107,6621,188,6433,4479
2017-04-01,11104,6697,197,6500,4397
2017-05-01,11107,6757,210,6547,4344
2017-06-01,11108,6775,192,6583,4323
2017-07-01,11111,6754,191,6563,4351
2017-08-01,11106,6762,189,6573,4338
2017-09-01,11112,6786,190,6596,4321
2017-10-01,11114,6762,181,6581,4345
2017-11-01,11113,6730,178,6552,4376
2017-12-01,11103,6716,174,6542,4380
2018-01-01,11102,6722,159,6562,4372
2018-02-01,11100,6744,166,6578,4347
2018-03-01,11100,6793,173,6620,4296
2018-04-01,11098,6851,180,6671,4238
2018-05-01,11103,6856,158,6698,4235
2018-06-01,11110,6855,168,6687,4246
2018-07-01,11102,6832,172,6660,4262
2018-08-01,11098,6852,170,6682,4236
2018-09-01,11102,6877,162,6715,4218
2018-10-01,11104,6888,163,6725,4211
2018-11-01,11103,6877,168,6709,4221
2018-12-01,11093,6815,159,6656,4271
2019-01-01,11097,6793,166,6628,4294
2019-02-01,11088,6812,156,6656,4267
2019-03-01,11090,6861,174,6687,4218
2019-04-01,11089,6884,176,6708,4195
2019-05-01,11093,6898,165,6732,4184
2019-06-01,11093,6909,162,6747,4174
2019-07-01,11096,6888,156,6731,4200
2019-08-01,11091,6908,157,6751,4177
2019-09-01,11092,6936,168,6768,4147
2019-10-01,11097,6951,164,6787,4137
2019-11-01,11097,6913,151,6762,4175
2019-12-01,11085,6883,145,6737,4194
2020-01-01,11086,6846,159,6687,4233
2020-02-01,11083,6850,159,6691,4225
2020-03-01,11084,6876,176,6700,4198
2020-04-01,11080,6817,189,6628,4253
2020-05-01,11084,6854,198,6656,4221
2020-06-01,11086,6865,195,6670,4210
2020-07-01,11086,6852,197,6655,4224
2020-08-01,11077,6882,206,6676,4188
2020-09-01,11085,6899,210,6689,4179
2020-10-01,11076,6910,215,6694,4159
2020-11-01,11073,6902,195,6707,4165
2020-12-01,11059,6860,194,6666,4191
2021-01-01,11065,6834,197,6637,4225
2021-02-01,11054,6840,194,6646,4206
2021-03-01,11048,6837,188,6649,4203
2021-04-01,11045,6866,209,6657,4170
2021-05-01,11058,6879,211,6667,4171
2021-06-01,11050,6898,206,6692,4142
2021-07-01,11046,6902,191,6711,4136
2021-08-01,11040,6886,193,6693,4147
2021-09-01,11033,6872,192,6679,4152
2021-10-01,11030,6842,183,6659,4178
2021-11-01,11028,6832,182,6650,4188
2021-12-01,11027,6831,171,6659,4188
2022-01-01,11065,6830,185,6646,4226
2022-02-01,11060,6838,180,6658,4215
2022-03-01,11054,6864,180,6684,4180
2022-04-01,11041,6915,188,6727,4116
2022-05-01,11032,6921,191,6730,4102
2022-06-01,11026,6945,186,6759,4071
2022-07-01,11023,6931,176,6755,4085
2022-08-01,11022,6929,177,6751,4086
2022-09-01,11033,6953,187,6766,4071
2022-10-01,11037,6933,178,6755,4095
2022-11-01,11037,6889,165,6724,4139
2022-12-01,11032,6875,158,6716,4150
2023-01-01,11022,6854,164,6689,4161
